uid,latitude,longitude,date,split
abcx,38.0505,-121.418,2013-01-15,train
abdc,36.9818,-120.221,2021-07-14,test
abdk,35.7589,-105.1445,2017-06-19,train
abdw,35.48,-76.82,2020-02-26,train
abei,35.976,-78.75614185,2016-04-13,train
aben,35.8881581,-78.98307882,2019-07-02,train
abeu,39.7533,-121.971,2019-05-22,train
abhd,34.6721,-120.492,2014-02-28,train
abin,35.85803313,-78.74197382,2014-07-15,test
abit,48.97325,-100.3713,2017-08-01,test
abjj,42.056766,-78.879216,2019-09-24,test
abjq,34.9454,-120.417,2017-09-26,test
abjr,36.7962,-121.782,2016-01-19,train
abjx,38.1156,-121.494,2013-08-20,test
abka,41.72506,-85.01198,2017-08-02,train
abkx,36.3708,-119.429,2016-06-22,train
abmo,35.89527007,-79.03999949,2015-06-10,train
aboc,44.761667,-82.783333,2018-04-03,train
abqi,35.69543599,-79.18319656,2016-04-06,train
abqw,37.8717,-121.526,2016-05-17,train
abrn,41.890646,-78.925275,2017-10-05,test
absk,35.433,-80.1,2016-06-21,train
absl,42.086392,-78.874325,2013-07-16,train
abso,35.65003134,-79.26753078,2016-07-19,train
absx,36.9128,-121.744,2014-12-03,train
abua,44.736667,-86.721667,2016-08-05,test
abui,37.1366,-120.762,2020-05-12,train
abvn,41.693325,-80.07708,2015-09-25,test
abvy,44.87109,-103.0033,2017-06-12,test
abwl,44.0,-82.35,2017-03-31,train
abxl,38.1602,-121.206,2019-03-19,train
abzb,36.313,-79.11482949,2020-02-26,test
abzk,39.21155,-97.00559,2017-08-28,train
abzw,35.86405812,-78.79019482,2015-04-22,test
acbt,39.3092,-121.595,2019-08-22,test
accd,35.86688428,-78.81281395,2016-05-24,train
acck,35.69378588,-79.18626146,2016-12-13,train
acdj,37.3906,-120.958,2015-04-14,train
acex,37.0062,-120.6,2021-07-14,test
acgm,36.13,-79.06766955,2020-06-24,train
acgx,35.6983636,-79.17775883,2014-07-22,train
acix,37.3978,-120.96,2020-08-11,train
acje,39.6242,-122.197,2018-06-20,train
ackq,35.976,-78.75042492,2015-11-16,train
ackx,47.62155,-89.463167,2017-08-25,test
aclb,38.48312168,-75.12969166,2020-11-10,train
acld,35.642526,-79.28147114,2020-07-15,test
aclj,44.868638,-93.524033,2013-09-23,train
acmt,37.2583,-120.475,2013-02-12,train
acoa,35.68433767,-79.2038105,2015-06-22,test
acoz,35.63158736,-79.30178847,2015-05-06,test
acpf,35.91362456,-79.18689955,2014-06-23,train
acpk,37.82493334,-99.91665915,2021-08-16,test
acqg,35.794,-79.01991641,2016-09-20,train
acqj,35.8594928,-78.75365623,2013-04-23,train
acqu,35.4265,-118.832,2020-07-21,train
acta,41.005131,-81.021802,2016-08-02,train
actk,41.89424,-78.93875,2019-04-16,train
actm,38.72020003,-75.08008333,2017-08-21,train
actx,36.8739,-121.745,2020-04-29,train
acuf,41.964856,-110.654119,2018-08-22,train
acwc,39.61525,-84.96614444,2020-08-25,train
acwk,35.90862444,-79.14688109,2021-04-28,test
acwm,34.942,-120.557,2013-05-28,train
acwx,37.1366,-120.762,2015-01-13,train
acwy,47.62155,-89.463167,2018-05-13,test
acxn,37.2343,-121.87,2015-02-06,train
acyg,35.79,-79.03232432,2020-03-11,train
acyi,44.878889,-93.490833,2013-06-18,train
acyk,35.61,-78.99699829,2021-05-18,train
acyl,35.72484521,-79.12857211,2018-08-06,test
aczv,35.64486809,-79.27712096,2019-07-02,test
aczx,35.62476,-78.71115215,2016-06-22,train
adau,44.14,-87.233333,2016-08-05,test
addj,41.726667,-83.15,2018-04-07,test
adef,35.742,-79.2289065,2016-05-24,train
adfl,35.86219473,-78.77528111,2014-05-19,test
adgs,35.3207,-120.806,2014-02-27,train
adhj,35.69077842,-79.19184749,2019-02-19,test
adjx,41.0491,-121.762,2021-08-23,test
admd,46.993333,-85.1645,2016-08-22,train
admk,45.48802,-96.44255,2017-08-21,train
admo,35.69149702,-79.19051278,2018-08-09,train
adow,35.66727765,-79.23549762,2016-12-13,train
adqc,35.67007219,-79.23030706,2015-08-06,test
adra,41.299298,-80.758329,2018-07-05,test
adsv,35.88523877,-78.95971401,2018-02-21,train
adtv,35.79,-79.02184434,2017-03-21,train
adtx,35.89309611,-79.02260016,2021-10-12,train
aduy,35.8674433,-78.81728806,2016-07-19,train
advr,47.85615,-88.041917,2013-04-15,train
adwf,35.70610848,-79.16337357,2016-06-08,train
adwg,40.72010333,-85.1058325,2021-05-24,test
adwl,35.72521782,-79.12788004,2013-08-26,train
adxk,41.33056393,-85.38360833,2020-06-08,train
adxl,37.3169,-120.742,2017-04-11,train
adxo,41.841242,-78.994719,2020-09-02,train
adzg,35.69841683,-79.17765997,2014-07-22,test
aeaj,35.65,-78.68778733,2021-08-11,test
aeap,35.794,-79.01032624,2014-08-05,train
aebg,35.63754905,-79.29071528,2015-07-23,train
aecj,36.7962,-121.782,2015-08-26,train
aeco,38.2996,-121.383,2019-03-19,train
aecy,35.659932,-79.24914138,2020-09-24,train
aedy,37.6756,-121.264,2016-10-18,train
aeea,34.73,-77.44,2021-07-20,train
aefb,36.03,-78.68256753,2020-06-01,train
aeib,35.70435191,-79.16663621,2014-08-13,train
aeid,39.16522,-96.91105,2016-09-26,test
aejc,42.021242,-78.95833,2017-10-04,train
aekm,35.65436,-79.01216056,2016-08-24,train
aelv,35.79,-79.03326356,2020-06-10,train
aemv,39.3092,-121.595,2014-11-18,test
aepe,36.35,-79.11398911,2019-11-20,train
aepl,35.6465182,-79.27405606,2018-08-09,train
aeqh,37.6756,-121.264,2016-11-14,test
aetj,35.91318977,-79.18341968,2014-06-10,train
aeud,34.73,-76.73,2019-01-16,test
aeuj,36.00756,-78.97114786,2013-08-12,train
aeus,37.9893,-121.463,2020-03-17,train
aexi,35.71124511,-79.15383283,2016-09-15,train
aexm,34.4395,-119.854,2019-05-22,train
aeyg,34.9454,-120.417,2016-04-20,train
aeyz,35.6296711,-79.30534771,2016-06-21,test
aezm,35.5621,-119.151,2017-02-01,train
afas,35.63565941,-79.29422509,2017-09-20,train
afbi,38.84259,-85.82827,2017-08-10,train
afbl,35.67826952,-79.21508142,2018-08-09,train
afcm,41.99847,-78.95185,2019-08-19,train
afef,42.516667,-79.893333,2018-04-08,train
afeh,35.51,-79.04122242,2021-08-02,train
afek,41.992305,-78.929219,2019-09-24,train
afel,37.8189,-121.358,2019-07-16,train
affc,35.98,-78.79640887,2018-10-25,train
afgc,37.3978,-120.96,2014-12-03,train
afgk,47.62155,-89.463167,2016-04-17,train
afgy,35.70629478,-79.16302753,2016-05-25,test
afhn,35.67137631,-79.2278848,2015-04-22,train
afhu,35.98,-78.82921903,2020-11-17,train
afhv,35.87017629,-78.83916151,2018-02-21,train
afhy,34.9454,-120.417,2019-05-21,test
afip,35.68758466,-79.19777956,2021-04-28,test
afiq,35.70038632,-79.17400186,2013-07-30,train
afix,38.9695,-94.7582,2021-10-11,train
afjc,35.7228225,-79.13232909,2013-05-16,test
afje,41.80086,-73.24929,2020-08-25,train
afjf,36.055,-78.763,2013-01-14,train
afjv,34.446,-119.876,2018-09-25,train
afke,41.3326,-75.88683,2021-08-19,train
aflh,43.596667,-78.801667,2014-04-25,test
afnd,35.976,-78.74893355,2015-09-22,test
afos,35.8639339,-78.78920057,2015-03-24,train
afpq,36.7254,-121.73,2019-01-18,train
afpw,36.6291,-121.688,2018-04-25,train
afsc,36.01,-78.96294531,2018-08-22,test
afsi,35.86256741,-78.77826385,2014-06-23,test
afuh,39.20984,-96.96101,2013-09-03,test
afum,35.70565603,-79.16421395,2016-08-10,test
afvi,35.66216763,-79.24498893,2019-09-04,train
afvu,36.055,-78.763,2014-04-22,train
afwi,38.2104,-121.262,2017-02-28,train
afyc,38.1688,-121.47,2021-08-11,test
afzm,35.69559568,-79.18289996,2015-12-07,train
agbg,36.9425,-121.445,2021-09-28,train
agbl,36.17,-79.05555825,2020-06-23,train
agca,36.31,-79.11537326,2020-06-01,train
agcl,40.48477,-78.27506,2021-11-08,train
agcm,36.02,-76.31,2017-07-19,train
agdh,37.6667,-120.898,2018-11-07,train
agdv,35.1117,-118.615,2015-09-15,train
agem,35.63911932,-79.28779868,2014-11-25,train
aggt,42.416667,-79.8,2016-08-12,train
aggu,43.516667,-79.08,2016-04-08,test
aggy,41.33056393,-85.38360833,2021-08-17,train
aghh,41.95,-82.686667,2016-04-04,train
aghm,35.6677301,-79.23465724,2016-09-20,test
agim,35.742,-79.20355319,2015-05-20,train
agis,47.47517,-88.00176,2017-07-18,test
agix,35.68225,-79.07802,2014-10-08,train
agjr,35.6992685,-79.17607808,2014-04-14,train
agku,47.370167,-90.851833,2016-04-18,train
aglm,38.785,-121.653,2014-08-19,train
agmv,36.1856,-104.8038,2016-05-03,train
agpk,35.72295557,-79.13208192,2018-08-27,train
agqj,42.733333,-87.416667,2019-04-03,test
agqw,36.045,-79.09164499,2013-06-27,train
agrt,36.11,-78.90602465,2018-08-27,test
agsx,36.03,-78.72,2019-03-20,train
agto,35.61133,-78.97810759,2016-07-22,test
agtu,35.68836,-78.6997183,2016-08-31,train
aguh,38.51613412,-95.70697032,2016-07-18,train
agvj,41.702596,-85.022696,2020-07-06,train
agwh,35.65913356,-79.25062439,2021-05-24,train
agwi,34.53937,-92.27375,2017-06-07,test
agxc,35.98,-78.8326989,2021-04-20,train
agxe,36.028,-78.716,2013-02-27,train
agxq,40.954436,-81.12694,2020-10-07,train
ahcm,42.027378,-78.967089,2019-10-25,train
ahdy,33.4742,-117.138,2016-05-18,test
ahek,41.493,-71.979,2019-08-01,test
aheu,35.71499778,-79.14686265,2016-07-27,test
ahez,35.86700851,-78.8138082,2016-06-07,train
ahfv,38.76050002,-75.20283333,2020-11-11,train
ahgg,35.48,-76.82,2018-05-03,test
ahgi,38.99841,-95.747367,2018-07-02,train
ahgo,36.35,-79.11384081,2019-11-20,test
ahgu,41.707665,-73.382964,2017-08-17,test
ahhm,39.264159,-79.951664,2017-07-25,test
ahhw,37.2583,-120.475,2017-08-15,train
ahjj,35.88377911,-78.9480316,2017-05-17,train
ahkg,35.8968229,-79.05242758,2015-10-12,test
ahnr,35.6630193,-79.24340704,2019-05-16,train
ahpj,35.90567405,-79.12326771,2019-11-14,train
ahpn,37.8817,-121.249,2018-07-17,train
ahrn,35.68332631,-79.20568898,2015-10-12,test
ahse,43.056389,-86.646389,2014-04-18,train
ahsh,35.63108168,-79.30272772,2015-07-07,train
ahsi,39.21155,-97.00559,2016-08-01,train
ahsm,36.17911,-79.05363033,2013-05-30,train
ahst,35.48,-76.82,2018-11-29,test
ahta,36.17,-79.05595372,2020-08-25,train
ahtt,39.1853,-121.704,2014-07-16,train
ahuv,40.72010333,-85.1058325,2021-06-21,test
ahvc,35.62908558,-79.30643526,2015-01-27,test
ahvi,35.6809576,-79.2100886,2017-02-14,train
ahwi,37.4125,-120.759,2013-04-02,train
ahwu,34.4168,-119.544,2021-01-28,train
ahwv,35.64607,-79.02657715,2016-07-13,train
ahxa,41.497974,-80.458755,2016-08-24,test
ahya,33.2549,-117.295,2013-02-09,test
ahys,35.976,-78.72010038,2013-11-12,test
ahyx,36.0397,-106.8478,2014-09-22,test
aiap,35.67568789,-79.21987651,2020-01-09,train
aiby,38.78199034,-85.69828611,2021-08-24,train
aicl,35.65120238,-79.26535569,2016-01-27,test
aidb,35.64477,-80.254,2016-06-08,train
aids,32.8397,-117.024,2014-05-08,train
aidy,37.2953,-120.85,2017-08-08,test
aiga,45.136667,-82.983333,2016-03-29,test
aigc,35.68327308,-79.20578785,2015-11-12,train
aihm,36.9767,-121.51,2018-04-23,train
aihx,35.86958621,-78.83443883,2017-09-20,train
aiii,40.32301,-79.47356,2021-08-25,train
aiiw,38.70408332,-75.07568333,2019-07-24,train
aiix,35.86477243,-78.79591174,2015-07-07,train
aijb,35.87853053,-78.90602465,2015-05-06,train
aijp,43.133333,-87.0,2017-03-27,train
aika,37.6003,-121.224,2019-08-13,train
aimy,34.4384,-119.906,2020-04-22,train
ainj,35.70876995,-79.15843018,2021-06-15,train
aipr,41.309434,-80.461686,2015-08-05,test
aipy,38.3068,-121.693,2019-12-04,train
aiqi,34.941,-79.10232271,2016-08-16,train
aiqq,35.85853004,-78.74595081,2018-08-09,train
aisa,37.2583,-120.475,2016-04-12,test
aivu,38.31806,-96.99139,2017-08-28,train
aiwo,33.0426,-117.076,2015-01-08,train
aiwq,41.890646,-78.925275,2017-06-15,train
aiwt,35.69921527,-79.17617695,2014-05-05,train
aixa,37.7705,-121.292,2019-02-05,train
aixq,35.12,-78.72706011,2019-08-12,train
aiyp,35.794,-79.004,2013-10-17,train
aize,38.259,-121.668,2019-02-05,test
ajbb,36.045,-79.09169443,2013-06-27,test
ajea,35.88259895,-78.93858625,2016-10-18,train
ajev,48.2295,-88.5455,2016-08-25,train
ajfd,35.87176018,-78.85183816,2019-01-15,test
ajfp,43.88,-76.9994,2018-08-15,train
ajft,34.4384,-119.906,2018-01-11,train
ajfv,38.28046862,-94.7337782,2018-09-17,train
ajfx,35.86017604,-78.75912459,2013-06-27,train
ajgg,34.40442,-111.0025,2017-09-26,test
ajim,35.67,-79.04888467,2020-05-14,test
ajjj,37.2141,-120.561,2014-04-08,train
ajkf,39.88423,-76.37506,2017-08-30,train
ajkz,35.95,-76.61,2020-07-28,train
ajlw,35.8732509,-78.86376913,2019-10-17,train
ajmc,39.07775,-96.9059,2015-09-08,train
ajme,37.61429993,-97.62981051,2016-08-08,train
ajnn,35.67220137,-79.22635235,2014-08-25,test
ajoh,38.0739,-121.212,2017-02-28,train
ajqf,34.9552,-120.487,2021-10-04,train
ajqv,41.56467,-79.9455,2019-08-22,test
ajru,39.474744,-86.898353,2021-06-14,test
ajrw,36.12,-78.91199013,2018-05-21,train
ajsm,35.67385148,-79.22328745,2020-12-10,train
ajsq,35.976,-78.72233743,2014-01-14,train
ajuc,32.04667,-96.75054,2017-09-13,train
ajuj,42.733333,-87.0,2013-03-28,train
ajvc,34.9552,-120.487,2021-01-29,test
ajvk,38.0601,-121.499,2013-08-20,train
ajvu,35.794,-79.004,2013-09-18,train
ajwh,35.70195659,-79.17108526,2019-07-02,train
ajxf,39.82640667,-95.52873464,2017-10-30,train
ajzm,48.72519,-116.1086,2017-08-03,test
akao,35.4265,-118.832,2019-10-15,train
akba,38.2361,-121.419,2015-09-23,train
akbi,35.91322082,-79.18366825,2014-06-10,train
akbk,38.51613412,-95.70697032,2017-10-02,train
akbz,42.038186,-78.908886,2014-08-14,train
akcy,41.868925,-73.0977,2018-09-27,train
akgs,47.606167,-86.818833,2019-08-25,train
akgu,35.2,-79.10518988,2018-08-13,train
akhe,39.309992,-80.034025,2017-07-26,train
akjw,41.702596,-85.022696,2017-07-17,train
akka,36.33,-79.11591703,2020-06-24,train
aklk,35.79,-79.02841904,2019-02-19,train
aknj,35.33794,-79.04547374,2015-07-21,train
akpm,35.85846793,-78.74545369,2015-11-12,train
akqd,44.736667,-86.721667,2017-03-28,test
akqj,36.17,-79.05516278,2020-05-27,train
akqp,36.532781,-105.236671,2015-04-09,train
akrh,35.86160465,-78.77055843,2013-12-05,train
akst,36.346,-79.1128027,2019-06-13,train
aksu,37.9495,-121.182,2019-05-21,train
akvu,35.68556194,-79.20153654,2015-01-27,train
akwt,39.74693889,-87.07598056,2019-08-19,test
akww,37.5582,-121.164,2015-03-10,train
akxc,35.88868606,-78.98730438,2019-09-14,train
akxm,35.036,-79.11888307,2021-08-16,train
akzy,37.6003,-121.224,2018-05-08,train
albx,37.6173,-122.074,2017-07-13,train
aldv,35.74,-79.02,2019-04-10,test
aler,42.081667,-81.011667,2019-08-10,train
alez,42.416667,-79.8,2013-08-11,test
alfc,40.968788,-81.119867,2017-06-27,test
alfh,45.75,-83.916667,2013-03-29,train
algg,39.74826,-78.67698,2020-09-14,train
algi,35.02,-83.79,2019-08-22,train
algu,41.285686,-80.361664,2016-07-20,train
alhz,35.48,-76.82,2017-03-07,train
alif,38.3677,-121.521,2016-10-18,train
aliv,38.37080661,-98.79520846,2017-10-16,train
aljj,40.3155,-96.9964,2017-09-20,train
aljv,39.21155,-97.00559,2021-10-11,test
aljz,35.67228121,-79.22620405,2014-08-25,train
allm,34.85,-78.83,2019-06-27,test
almt,41.843527,-78.957332,2013-08-20,train
alpb,38.36472,-97.10194,2017-07-17,train
alpl,35.64404303,-79.27865341,2019-10-17,train
alqd,38.70782502,-75.08086667,2018-08-01,train
alqp,37.4419,-121.003,2018-06-12,test
alqs,39.21067,-96.97298,2016-08-15,test
alrk,33.513,-117.269,2016-01-21,test
alsf,35.68915492,-79.19486296,2020-03-11,train
altb,36.15,-79.1069695,2020-09-23,train
alvh,36.7025,-121.709,2013-12-11,test
alvv,35.794,-79.01630774,2015-09-24,test
alwg,38.2104,-121.262,2017-05-16,test
alwh,36.04,-76.61,2021-09-30,train
alwn,35.72242328,-79.13307059,2013-09-19,train
alwp,44.87302,-93.556776,2013-08-19,test
alxm,37.6106,-121.229,2014-08-12,train
alxr,35.72378063,-79.13054947,2013-06-19,test
alxv,35.976,-78.70966078,2013-03-20,test
alyc,35.84,-79.06114428,2020-09-09,train
alyf,38.307,-121.794,2015-05-19,test
amai,35.68484334,-79.20287125,2015-05-20,test
amak,38.307,-121.794,2019-07-16,train
amap,35.68870247,-79.19570334,2020-06-10,test
amat,36.9893,-121.533,2018-04-23,train
ambi,42.516667,-79.893333,2014-08-15,test
amcm,35.63366331,-79.29793263,2015-09-09,train
amcu,35.6771517,-79.21715765,2019-05-16,test
amfl,35.86030027,-78.76011884,2013-07-10,train
amgv,42.027378,-78.967089,2014-10-27,train
amjb,48.17831,-91.98468,2017-08-24,test
amjd,35.63169382,-79.30159074,2015-03-24,train
amjh,41.977778,-81.756944,2015-08-11,train
amjn,41.995,-82.45,2019-04-28,test
amks,38.9725,-94.67293,2021-10-25,test
amkz,35.68926138,-79.19466523,2020-01-09,train
amma,39.1766,-122.189,2017-12-27,train
ammk,36.17,-79.05214731,2018-06-28,train
ammz,33.4779,-117.142,2017-05-17,train
amol,35.742,-79.23387774,2016-07-19,train
amos,36.7085,-121.749,2021-04-29,train
amow,35.64607,-79.02309728,2016-06-08,test
amqv,43.89,-82.056667,2014-04-22,test
amrx,38.2104,-121.262,2016-02-18,test
amsp,44.868638,-93.524033,2013-07-22,train
amtf,36.00756,-78.96642518,2013-06-11,train
amtr,34.41,-78.3,2019-05-20,train
amuf,35.6673575,-79.23534932,2016-11-21,train
amuw,38.06284,-100.05499,2013-06-10,train
amwf,47.62155,-89.463167,2015-08-28,test
amwp,35.72186437,-79.13410871,2014-07-08,train
amww,35.68202219,-79.20811124,2016-07-19,train
amwx,35.64607,-79.01961742,2016-05-25,train
amxb,39.263048,-80.00583,2017-07-25,test
amyy,35.67129647,-79.2280331,2015-04-22,train
amzo,48.0825,-89.252383,2015-05-10,train
anbo,35.742,-79.20579025,2015-06-10,train
andt,41.840964,-79.009164,2015-09-29,train
anei,47.35085,-121.9925,2017-09-07,train
anfv,35.74,-79.02,2017-11-15,test
angt,35.7197352,-79.13806342,2013-07-22,train
anjy,42.253333,-81.106667,2016-08-12,train
anke,37.4341,-122.218,2015-07-07,train
anlm,35.64721018,-79.27277078,2018-03-22,test
anlo,43.58,-77.2,2018-08-15,train
anlp,36.1606,-79.0982197,2015-07-27,train
anmf,34.73475,-77.44025,2015-09-14,test
anmy,42.383333,-87.0,2019-04-04,test
annu,35.61,-78.95548846,2018-08-28,test
anra,43.89,-82.056667,2015-08-09,test
anrk,35.72229021,-79.13331776,2018-05-21,train
anrt,35.794,-79.01126548,2014-10-08,train
antr,36.03,-78.69400138,2021-04-20,test
anuc,37.5582,-121.164,2017-08-08,train
anuf,39.03917524,-95.69083603,2019-09-30,train
anuh,35.67294658,-79.2249682,2021-08-05,test
anvc,36.045,-79.09248537,2013-09-25,train
anvh,37.0062,-120.6,2021-03-19,train
anvn,34.9354,-120.356,2017-01-09,train
anvp,37.2616,-120.906,2020-07-14,train
anwq,35.86983466,-78.83642733,2017-11-15,train
anwv,36.3,-80.04,2019-09-30,train
anxo,36.54,-79.0656922,2019-09-19,train
anxr,45.41361,-84.80677,2017-07-24,train
anyq,35.65253312,-79.262884,2015-07-07,test
anzf,36.177,-79.05412467,2013-07-31,train
aoab,47.606167,-86.818833,2017-04-17,test
aobs,37.9792,-121.57,2016-12-16,train
aobu,37.1145,-120.89,2016-05-10,train
aoce,36.16894,-79.07112993,2013-09-05,test
aoco,35.67467653,-79.221755,2020-07-15,train
aocw,39.07775,-96.9059,2016-08-08,test
aofk,35.87809574,-78.90254478,2015-03-24,train
aogc,35.91505317,-79.1983334,2015-01-27,test
aogk,41.70051,-80.10148,2020-07-29,train
aogm,40.11461,-75.8596,2019-08-15,test
aogy,35.0228,-120.586,2013-09-17,train
aogz,47.370167,-90.851833,2019-05-04,test
aohi,35.64702388,-79.27311681,2018-04-11,train
aohj,40.38382,-76.0402,2019-08-05,train
aohs,36.055,-78.763,2014-12-10,test
aoit,35.67097709,-79.22862631,2015-05-20,train
aojn,35.72013442,-79.13732191,2013-05-22,train
aojo,39.21067,-96.97298,2015-08-03,train
aojs,35.71861738,-79.14013964,2019-06-01,train
aoko,36.03,-78.68753877,2020-09-16,train
aolc,35.90905923,-79.15036096,2021-07-12,train
aold,36.14,-76.75,2019-09-12,test
aolg,41.69417,-80.08583,2020-08-31,train
aoln,35.65040394,-79.26683871,2016-05-24,train
aomf,38.307,-121.794,2014-02-10,test
aony,35.87207074,-78.85432378,2019-05-16,test
aoom,29.84254,-96.76571,2017-09-20,train
aoon,35.89570486,-79.04347936,2015-07-07,train
aopf,35.68825002,-79.19654371,2020-09-24,train
aopl,35.66517509,-79.2394029,2017-12-06,train
aoqa,37.65556,-98.26099,2017-06-14,train
aoqj,38.4571,-122.631,2014-03-26,train
aoqv,39.79219,-99.97105,2016-06-13,train
aosf,34.9354,-120.356,2014-02-28,train
aosm,35.88694689,-78.97338491,2018-12-06,test
aosw,42.253333,-81.106667,2019-04-22,test
aoth,35.64790216,-79.2714855,2017-10-18,train
aotx,35.91300343,-79.18192831,2014-04-14,train
aowb,35.69288098,-79.18794222,2017-07-20,train
aoxm,41.512172,-73.476168,2017-08-17,test
aozh,35.868375,-78.82474492,2017-01-24,train
aozi,35.65436,-79.01340337,2016-08-31,train
aozp,35.86694639,-78.81331107,2016-06-07,test
aozr,38.48312168,-75.12969166,2020-10-13,test
apak,35.9138109,-79.18839092,2014-07-16,test
apbg,36.39,-78.85705796,2019-08-28,test
apbq,35.63555295,-79.29442282,2017-10-18,train
apcu,37.2639,-120.906,2020-08-17,train
apdc,38.1602,-121.206,2015-03-17,test
apdg,41.1883,-123.7055,2018-08-22,test
apec,37.3294,-122.086,2019-06-03,train
aped,36.8754,-121.561,2020-04-28,train
apej,35.721199,-79.13534455,2018-06-25,train
apiz,35.71896337,-79.139497,2018-07-16,test
aplj,35.64607,-79.02284872,2016-06-08,test
apms,40.11372,-79.52797,2021-08-30,train
apnm,35.71741972,-79.14236417,2019-06-01,train
apnz,39.80482,-99.93915,2019-07-22,train
apob,39.58638333,-84.99486667,2020-05-19,test
apoh,35.66605338,-79.23777158,2017-07-20,test
apoq,38.2996,-121.383,2019-06-18,test
apou,37.3205,-122.061,2013-07-09,train
apph,35.98,-78.79541462,2018-08-16,train
apqc,35.98,-78.79143763,2018-06-27,train
apre,35.443,-78.87222023,2014-08-12,train
aprj,35.6487006,-79.27000248,2017-03-21,test
aprx,35.0228,-120.586,2021-01-27,test
apry,38.814,-86.08063972,2021-08-23,test
apsd,35.85809525,-78.74247094,2014-07-15,test
apsf,39.16522,-96.91105,2017-07-05,train
apsn,35.67608711,-79.219135,2019-10-17,test
apsz,37.2639,-120.906,2021-05-20,test
aptf,35.0164,-120.586,2020-09-22,test
apuh,35.65689793,-79.25477684,2013-07-30,train
apuu,37.82516,-99.919103,2021-10-25,train
apux,37.9718,-121.374,2020-02-12,train
apuy,35.51,-79.09594574,2017-09-28,test
apva,35.976,-78.72482305,2014-03-27,train
apwb,35.8888724,-78.98879575,2019-10-17,train
apwn,35.794,-79.01047454,2014-08-05,train
apwp,34.73,-76.73,2019-09-19,train
apwq,41.697709,-73.28029,2017-08-31,train
apya,35.4417,-119.549,2014-08-27,train
apyv,37.2764,-120.954,2013-06-11,train
apzy,35.64202032,-79.28241039,2020-10-22,train
aqae,35.65814882,-79.25245345,2021-12-02,test
aqaf,39.16522,-96.91105,2014-06-02,train
aqah,39.57612,-105.0421,2017-07-30,test
aqbh,37.04702,-97.04936,2017-09-11,train
aqdc,35.98,-78.80485997,2019-04-17,train
aqdr,40.11487,-75.85933,2021-08-16,test
aqee,42.83409996,-72.47257647,2017-08-17,train
aqef,35.64172756,-79.28295416,2021-03-17,train
aqfl,35.68473689,-79.20306899,2015-06-10,train
aqgh,35.70735937,-79.16105018,2016-08-24,test
aqhq,35.794,-79.02060849,2016-12-13,train
aqhw,35.57,-78.93908338,2018-05-01,train
aqii,36.7254,-121.73,2020-09-29,train
aqis,35.88126352,-78.92789809,2016-05-09,train
aqjj,41.9553,-73.4448,2019-11-04,train
aqju,34.2127,-78.91845274,2013-08-12,train
aqjx,35.68225,-79.07802,2016-01-27,train
aqkm,35.70845057,-79.15902339,2021-08-11,train
aqkr,40.57635,-79.02029,2017-11-15,train
aqky,40.0289,-75.84969,2018-08-23,test
aqlc,35.84,-79.0600073,2020-06-04,train
aqmh,36.9634,-121.491,2018-09-26,train
aqmm,35.79,-79.03005036,2019-09-04,test
aqnu,35.6530388,-79.26194475,2015-06-10,train
aqny,35.68596116,-79.20079503,2014-10-08,train
aqoo,35.79,-79.03262092,2020-05-18,test
