uid,region,severity,abundance
afel,west,4,2836.1765
affc,south,2,29.157
afgc,west,3,634.7825
afgk,midwest,1,0.163905057
afhn,south,1,0.399
afhu,south,3,250.082
afhv,south,1,3.268
afiq,south,1,6.535
afix,midwest,3,200.722
afje,northeast,1,6.5286
afjf,south,2,22.385
afjv,west,3,852.5
afke,northeast,3,234.667
afos,south,1,1.598
afpq,west,4,5065.0
afpw,west,4,4142.5
afvi,south,1,4.383
afvu,south,1,4.35
afwi,west,4,4265.78
afzm,south,1,4.212
agbg,west,4,3032.5
agbl,south,2,32.082
agca,south,2,20.949
agcl,northeast,2,64.667
agcm,south,3,533.858
agdh,west,4,6037.316
agdv,west,4,2182.0
agem,south,2,73.126
aggt,northeast,1,15.79007713
aggy,midwest,3,121.344
aghh,midwest,1,8.292752191
agim,south,1,0.264
agix,south,3,487.965
agjr,south,1,9.604
agku,midwest,1,0.560454116
aglm,west,4,5935.0
agmv,west,1,3.315384043
agpk,south,1,0.484
agqw,south,1,6.406
agsx,south,1,8.751
agtu,south,3,119.232
aguh,midwest,3,714.42
agvj,midwest,3,142.582
agwh,south,1,0.871
agxc,south,1,8.84
agxe,south,2,22.301
agxq,midwest,1,0.237368421
ahcm,northeast,2,96.555
ahez,south,1,18.958
ahfv,south,1,11.25
ahgi,midwest,3,526.05
ahhw,west,4,5757.257
ahjj,south,1,3.485
ahnr,south,1,8.64
ahpj,south,2,58.091
ahpn,west,4,5174.3435
ahse,midwest,1,0.419322575
ahsh,south,2,59.872
ahsi,midwest,4,1400.175
ahsm,south,2,21.114
ahta,south,1,11.672
ahtt,west,4,7344.0
ahvi,south,1,0.581
ahwi,west,4,1940.639
ahwu,west,4,6275.0
ahwv,south,2,34.855
aiap,south,2,29.225
aiby,midwest,3,688.974
aidb,south,3,298.316
aids,west,4,3177.0
aigc,south,1,5.809
aihm,west,4,6190.0
aihx,south,1,14.523
aiii,northeast,3,156.0
aiiw,south,2,53.79999924
aiix,south,1,1.291
aijb,south,1,7.745
aijp,midwest,1,0.272476143
aika,west,4,6277.5
aimy,west,4,5380.0
ainj,south,1,1.343
aipy,west,4,5017.5
aiqi,south,3,116.182
aiqq,south,2,37.759
aivu,midwest,3,287.28
aiwo,west,4,4107.5
aiwq,northeast,1,1.326470588
aiwt,south,1,11.366
aixa,west,4,4337.423
aixq,south,1,4.575
aiyp,south,3,342.011
ajea,south,2,30.498
ajev,midwest,1,14.46323678
ajfp,northeast,1,7.473192593
ajft,west,4,5257.5
ajfv,midwest,4,1042.65
ajfx,south,1,10.775
ajjj,west,4,5509.763
ajkf,northeast,1,0.667
ajkz,south,2,82.87
ajlw,south,1,0.726
ajmc,midwest,1,5.985
ajme,midwest,3,259.56
ajoh,west,4,5047.34
ajqf,west,3,140.75
ajrw,south,1,3.631
ajsm,south,1,2.49
ajsq,south,2,26.359
ajuc,south,3,459.65
ajuj,midwest,1,0.347634172
ajvk,west,4,1699.658
ajvu,south,3,172.182
ajwh,south,1,0.363
ajxf,midwest,3,107.1
akao,west,4,4837.5
akba,west,4,2643.21325
akbi,south,1,0.171
akbk,midwest,3,405.405
akbz,northeast,2,24.59178686
akcy,northeast,1,9.477
akgs,midwest,1,0.664816748
akgu,south,1,0.376
akhe,south,1,0.739812925
akjw,midwest,2,47.858
akka,south,1,12.102
aklk,south,1,4.357
aknj,south,1,6.708
akpm,south,1,0.508
akqj,south,2,24.608
akqp,west,1,18.99394213
akrh,south,1,4.195
akst,south,1,5.164
aksu,west,4,3682.8665
akvu,south,1,13.942
akww,west,4,6016.666667
akxc,south,3,477.073
akxm,south,2,52.81
akzy,west,4,4632.5
albx,west,4,5480.0
aler,midwest,1,6.922536296
alfh,midwest,1,0.343879238
algg,northeast,1,0.0
algi,south,1,5.01
algu,northeast,1,3.3825
alhz,south,1,3.631
alif,west,4,2714.206663
aliv,midwest,3,693.315
aljj,midwest,3,971.58
aljz,south,2,28.448
almt,northeast,1,4.850377358
alpb,midwest,2,99.855
alpl,south,1,5.532
alqd,south,1,13.5
alsf,south,1,1.367
altb,south,2,88.952
alwh,south,1,0.363
alwn,south,1,0.29
alxm,west,4,5702.5
alyc,south,1,15.56
amak,west,4,7165.0
amat,west,4,7230.0
amcm,south,1,8.348
amfl,south,2,31.686
amgv,northeast,1,1.2375
amjd,south,1,13.649
amjh,midwest,2,46.6596927
amkz,south,1,1.598
amma,west,4,6722.5
ammk,south,2,71.824
ammz,west,4,4038.75
amol,south,3,214.066
amos,west,4,3715.0
amsp,midwest,1,0.78
amtf,south,2,24.398
amtr,south,1,1.19
amuf,south,2,32.346
amuw,midwest,1,1.197
amwp,south,1,17.427
amww,south,3,281.016
amwx,south,1,3.74
amyy,south,1,10.005
amzo,midwest,1,0.193318515
anbo,south,2,69.709
andt,northeast,1,1.247209877
anei,west,2,29.598
angt,south,1,1.452
anjy,midwest,2,27.51839809
anke,west,4,4950.0
anlo,northeast,2,23.63220316
anlp,south,1,0.401
anrk,south,1,0.145
anrt,south,3,494.743
anuc,west,4,5410.0
anuf,midwest,3,256.095
anvc,south,2,63.988
anvh,west,4,4315.0
anvn,west,4,5757.5
anvp,west,4,4885.0
anwq,south,1,14.232
anwv,south,1,14.414
anxo,south,1,0.581
anxr,midwest,2,38.613
anzf,south,2,45.021
aobs,west,4,1614.989
aobu,west,4,6977.5
aoco,south,1,1.053
aofk,south,1,1.634
aogk,northeast,3,109.2
aogy,west,4,4527.5
aohi,south,2,21.087
aohj,northeast,4,1733.333
aoit,south,1,0.137
aojn,south,1,0.508
aojo,midwest,4,1322.37
aojs,south,3,724.203
aoko,south,1,0.581
aolc,south,3,605.116
aolg,northeast,3,713.133
aoln,south,2,77.939
aoom,south,4,1052.55
aoon,south,2,42.116
aopf,south,1,1.355
aopl,south,1,12.522
aoqa,midwest,4,3101.0
aoqj,west,4,5640.0
aoqv,midwest,4,2137.905
aosf,west,4,5015.0
aoth,south,1,1.138
aotx,south,2,59.507
aowb,south,2,60.35
aozh,south,1,2.905
aozi,south,3,108.437
apbq,south,2,47.125
apcu,west,4,5745.0
apec,west,4,5529.302
aped,west,4,5120.0
apej,south,1,11.618
apms,northeast,4,1600.0
apnm,south,1,0.376
apnz,midwest,2,83.475
apou,west,4,5110.0
apph,south,2,60.996
apqc,south,1,8.875
apre,south,1,6.172
apsf,midwest,3,269.325
apuh,south,1,0.254
apuu,midwest,3,330.996
apux,west,4,1522.33
apva,south,1,1.598
apwb,south,2,62.932
apwn,south,3,120.176
apwp,south,1,14.995
apwq,northeast,1,9.2664
apya,west,4,1245.125
apyv,west,4,6607.5
apzy,south,1,1.13
aqaf,midwest,3,182.07
aqbh,midwest,3,210.42
aqdc,south,1,2.541
aqee,northeast,1,1.84
aqef,south,1,17.79
aqfl,south,2,22.472
aqhq,south,1,8.937
aqhw,south,2,21.037
aqii,west,4,6132.5
aqis,south,1,12.344
aqjj,northeast,1,5.8968
aqju,south,2,27.593
aqjx,south,1,17.935
aqkm,south,1,1.867
aqkr,northeast,1,0.0
aqlc,south,2,57.607
aqmh,west,4,1265.0
aqnu,south,1,2.759
aqny,south,4,2114.517
aqox,midwest,1,11.97
aqqb,west,4,3875.0
aqqd,south,3,289.729
aqqh,northeast,1,0.0
aqqv,south,3,172.18
aqrc,south,1,18.88
aqri,northeast,1,13.867
aqrr,midwest,1,0.144802599
aqsg,midwest,1,15.157
aqta,south,3,199.446
aqte,northeast,3,321.333
aqtk,midwest,3,129.046
aqtr,south,1,6.493
aqut,northeast,3,463.4494792
aqve,south,1,2.541
aqvn,midwest,1,0.277553339
aqxo,south,1,2.463
aqyb,south,1,6.777
aqyz,northeast,2,75.816
aqzg,south,1,0.125
arcd,south,3,194.242
arck,northeast,1,6.237452152
ardi,northeast,3,159.333
argk,west,4,2370.497
argt,west,4,4321.1405
arjl,west,4,5612.5
arka,south,2,21.3
arkx,west,5,20812.00409
arlq,west,4,1166.5
armb,south,1,1.598
armw,south,1,10.957
arnp,south,1,1.67
aros,south,1,1.017
arpl,west,4,5480.0
arqn,south,1,2.488
arro,south,4,1660.161
arur,south,1,7.338
arus,south,2,51.754
arwu,west,4,1614.989
arwv,west,3,852.968
arxu,northeast,3,980.0
aryw,south,1,13.555
asat,west,4,4962.5
asbi,south,1,0.036
ascv,south,2,36.649
asdo,midwest,1,3.991
asdr,west,4,5298.0905
aseg,south,1,0.193
aseq,west,4,1504.268
asge,west,1,15.07335895
asgj,midwest,3,788.319
asgp,northeast,1,1.120982659
asgu,west,4,5970.0
asgy,midwest,1,0.264257813
asgz,west,4,3077.1575
ashi,south,3,116.182
ashp,west,4,2406.3185
asif,south,2,57.51
asjf,west,4,5790.0
askb,northeast,2,67.48540146
asoc,west,4,6255.0
asoh,west,4,1584.539998
asos,west,4,1331.6735
aspl,south,1,14.523
asrm,south,2,86.653
assf,south,1,15.768
assg,south,2,25.818
assj,west,4,1390.01
assl,west,4,2767.79
astc,south,1,0.654
astm,northeast,1,2.533
asvb,midwest,1,0.780230204
asvj,south,1,0.399
asxp,south,1,1.452
asxw,west,4,4005.26
asyc,south,3,241.21
aszq,south,1,0.182
atab,midwest,1,6.3
ataj,midwest,3,193.328
atbg,south,4,9092.946
atdm,west,4,1667.5
atdz,south,1,16.256
atgo,northeast,1,0.098903509
atio,midwest,3,615.51
atle,west,4,1973.204
atnl,south,1,5.386
atnn,northeast,1,8.550068766
atnq,west,4,4912.5
atns,northeast,1,0.113127031
atog,south,3,132.86
atqn,south,1,1.987
attw,northeast,3,101.6629167
atue,west,4,4917.08
atun,west,4,1071.0
atvb,south,1,1.409
atvc,south,3,553.802
atve,south,1,3.169
atxa,south,1,19.485
auau,northeast,2,45.88970889
aubm,south,1,1.699
aucl,south,1,0.079
auco,northeast,1,9.672048193
audd,west,4,4892.5
audj,south,1,5.635
aufi,south,1,0.125
aufq,south,1,9.004
aufv,south,2,20.2
auho,west,4,5490.0
aumk,south,1,0.132
aunk,west,4,4795.0
auqm,west,4,2328.1625
aurz,south,1,0.581
auti,northeast,1,19.03
auts,northeast,3,176.0
auvo,west,4,6880.0
auwg,south,1,3.6
auwt,west,1,12.548
avas,northeast,3,121.539898
avdo,west,4,5397.5
avfl,south,1,5.385
avhu,south,1,18.153
avib,south,2,88.921
avkl,west,4,4827.5
avkn,south,2,42.661
avkx,south,1,3.195
avnf,south,1,0.073
avnv,south,2,52.697
avof,west,4,1075.25
avot,midwest,3,192.78
avpm,midwest,3,259.496
avrd,west,4,5115.0
avrn,south,1,0.917
avsn,west,4,3995.0
avts,south,3,135.788
avvp,south,4,1301.609
avwf,south,1,0.073
avxh,west,4,4905.0
avxm,midwest,3,177.03
avxu,midwest,2,38.115
avzx,south,2,24.205
awab,south,2,21.687
awdc,south,1,5.281
awde,south,1,0.25
awdn,west,4,5472.5
awfl,west,4,2416.088
awhc,south,2,30.788
awis,south,2,62.811
awkt,northeast,2,39.1716
awmx,west,4,1573.0
awnc,south,3,166.963
awoe,south,1,7.859
awog,south,3,132.319
awpd,west,4,1946.686668
awqn,south,2,31.95
awqw,south,1,7.261
awri,south,2,37.674
awrj,northeast,3,405.667
awsa,midwest,2,63.63
awul,south,1,2.42
awuz,west,4,2490.0
awvk,south,3,140.664
awwn,west,4,3766.75
awxg,south,1,8.948
axaz,midwest,2,82.215
axbh,west,4,2040.875
axbl,south,1,3.994
axdf,west,4,6053.5985
axeb,south,1,4.115
axhw,south,1,17.427
axie,midwest,3,501.412
axkq,northeast,1,19.68979779
axlb,northeast,3,224.7665
axml,south,1,5.921
axoz,west,4,7185.0
axpt,south,3,317.312
axru,south,1,8.569
axvq,midwest,3,392.175
axwb,south,1,16.701
axyl,south,3,250.082
axyt,west,4,6040.0
axyv,midwest,2,90.882
axzm,south,1,1.452
ayam,northeast,3,173.333
aybc,south,1,4.518
aydg,west,3,712.9385
ayds,west,4,5202.5
ayef,northeast,1,1.297726089
ayfi,south,1,14.486
ayfj,west,4,3741.4835
ayfy,south,1,0.218
aygz,south,1,0.29
ayhg,south,2,22.591
ayhj,midwest,1,1.547942048
ayin,northeast,1,17.19084924
ayjf,northeast,3,204.5503226
ayle,south,1,0.436
aylk,northeast,1,5.733
aymx,midwest,4,8754.384
ayna,west,4,2524.5
ayne,south,1,0.944
aypd,west,4,6677.5
ayrn,south,3,167.012
ayrq,northeast,1,0.0
aysa,south,2,44.85
aysb,south,2,30.206
aysm,south,3,142.416
aysy,south,1,0.198
ayuc,south,1,2.582
ayup,west,4,6217.5
ayvj,west,4,1898.3045
ayyk,midwest,1,1.701
ayze,northeast,1,17.133
ayzf,south,1,0.391
azal,west,4,5105.0
azaz,west,4,2772.5
azba,south,1,9.004
azcy,south,2,77.638
azde,midwest,3,608.429
azdp,midwest,1,0.733576546
azef,south,2,81.328
azfm,south,1,10.166
azgk,west,4,6922.5
azhl,south,1,0.484
azie,west,4,4740.0
azis,west,4,1882.022
azkl,west,4,6050.0
azlk,south,2,56.872
azln,northeast,3,315.7
azly,south,2,21.784
azmc,west,4,6162.5
azmp,midwest,1,0.997217
azni,south,1,7.0
aznr,west,4,5040.0
azoe,west,2,45.3268
azoh,midwest,1,2.256894958
azqj,west,4,5402.5
azql,northeast,3,311.067
azru,south,4,1004.97
aztk,south,3,152.489
azub,south,3,243.402
azvc,west,4,2096.951
azvh,south,1,1.94
azwc,west,4,6172.5
azwk,south,1,14.523
azwx,south,1,0.083
azxt,south,2,77.455
azyt,south,1,3.961
azza,west,4,3500.0
baag,northeast,1,18.667
bacc,south,1,3.031
baeh,west,4,6405.0
baen,south,2,56.016
bagu,south,1,6.172
bajg,west,2,23.916
baky,west,4,2635.1865
bals,south,1,0.376
bams,midwest,2,30.91795181
bane,midwest,1,1.059785826
banm,northeast,2,22.61
baos,south,1,10.644
bapf,midwest,2,27.09
barv,midwest,1,10.44807557
basj,south,1,3.101
basy,south,1,8.307
bato,midwest,1,17.921
batr,west,4,3087.5
bavg,west,5,10110.0
bavj,south,1,1.196
bawf,south,1,1.38
baxo,south,1,9.242
bayk,south,1,1.634
bazp,south,3,334.75
bbbc,south,1,17.093
bbbm,northeast,1,3.8
bbbp,midwest,3,117.3296
bbbs,northeast,1,0.363709677
bbcs,midwest,1,14.169
bbcy,midwest,3,483.84
bbdt,northeast,1,14.667
bbed,south,2,31.556
bbgg,south,1,14.087
bbgp,west,4,4742.5
bbig,northeast,2,33.067
bbio,south,1,16.597
bbki,midwest,3,169.182
bblz,south,1,4.448
bbmf,west,2,24.382
bbms,midwest,3,112.77
bbov,south,2,85.684
bbri,midwest,3,254.52
bbrp,west,4,4727.5
bbrr,south,1,1.452
bbsi,west,1,2.758218099
bbue,northeast,1,6.254348617
bbur,midwest,2,41.36
bbvf,south,1,2.376
bbvs,west,4,5445.0
bbwo,south,2,22.389
bbws,south,2,29.046
bcbl,west,4,1275.25
bccc,south,2,20.332
bccm,northeast,1,0.055168196
bcdh,west,4,1154.75
bcds,south,3,629.147
bcfd,west,3,726.5
bcju,midwest,1,1.203422751
bcjw,south,2,22.111
bckt,west,4,5750.0
bckw,south,2,94.035
bcng,south,3,383.0
bcnm,south,1,11.203
bcoz,midwest,1,0.988291592
bcpr,south,3,187.551
bcrk,west,4,4529.5565
bcrx,south,3,224.62
bcsi,midwest,3,340.307
bctg,south,2,33.886
bcux,west,4,3945.0
bcwb,south,1,2.905
bcym,midwest,1,7.644466159
bdbv,midwest,1,0.302451904
bdbx,west,4,6347.5
bdey,south,1,1.126
bdhx,south,3,170.401
bdix,south,1,11.618
bdjp,south,1,7.261
bdma,midwest,3,216.203
bdof,west,4,5020.0
bdoh,northeast,1,0.016459854
bduj,south,1,10.435
bdvi,northeast,3,548.267
bdxj,midwest,3,567.63
bdxv,south,1,0.415
bdxz,south,1,10.166
bebd,south,1,2.868
bedw,south,1,3.961
begh,south,1,3.268
begp,south,1,0.11
begv,west,4,6563.0
begy,south,1,6.644
beiw,northeast,1,15.63466667
beix,west,4,1736.25
beko,south,3,415.715
belz,south,1,11.618
bema,west,4,3047.3665
bemf,south,2,21.784
benw,northeast,1,14.27783163
beom,midwest,2,45.467
beqd,south,1,8.714
beqt,west,4,6437.5
berb,south,3,308.367
besg,midwest,2,75.35940171
besx,south,1,1.263
bewh,west,4,1390.2905
bexl,west,4,2158.0
beyi,west,4,4370.0
beyq,midwest,3,170.415
bfag,south,4,1053.3
bfan,midwest,2,43.785
bfbd,south,1,1.245
bfbn,midwest,2,80.552
bfbs,midwest,3,194.5
bfcn,south,1,3.34
bfea,west,4,5390.0
bfes,midwest,2,20.16
bffg,south,3,394.294
bffy,south,2,20.036
bfgd,west,4,1785.0
bfgp,south,1,2.947
bfgr,south,1,2.734
bfip,south,1,16.592
bfjd,south,1,1.355
bfmm,south,2,34.855
bfrc,south,3,227.717
bfuc,midwest,1,0.504019079
bfuw,south,1,0.626
bfwg,west,4,5985.212
bfxh,northeast,2,55.81691324
bfys,south,3,132.939
bfyz,midwest,4,1288.35
bfzl,west,4,1712.684
bfzp,west,4,1849.457
bgao,midwest,1,0.171
bgbl,west,4,2474.705
bgci,west,4,3950.5
bgdz,south,1,4.772
bggp,northeast,3,169.733
bggq,south,2,20.572
bgin,south,1,5.337
bgjs,west,3,399.2525
bgld,midwest,3,261.81
bgll,west,2,54.0663
bgnf,midwest,4,2966.895
bgnz,midwest,1,6.298
bgph,midwest,3,494.55
bgpo,south,1,3.896
bgth,northeast,3,521.9795302
bgtl,midwest,2,44.73
bgwk,south,2,71.162
bgwq,west,4,2331.419
bgwz,west,4,3740.0
bgxc,south,1,14.746
bgxp,midwest,4,1845.9
bgyb,south,1,15.906
bhcg,south,1,3.34
bhch,south,1,0.871
bhcw,midwest,3,101.43
bhcx,south,2,71.162
bhdi,south,1,9.682
bhek,northeast,1,0.091172507
bhfd,midwest,1,5.614740721
bhff,northeast,1,0.068645358
bhfm,south,4,2971.361
bhfo,south,1,5.809
bhge,midwest,1,19.815
bhgg,south,2,71.377
bhhc,midwest,2,29.295
bhii,south,1,1.936
bhiw,south,3,104.564
bhkt,south,1,3.961
bhlt,west,4,5457.5
bhoe,south,1,0.465
bhqz,south,1,1.37
bhry,midwest,3,314.203
bhvb,south,2,27.593
bhww,south,1,15.427
bhze,south,1,1.452
bhzj,midwest,2,20.076
bibc,south,1,0.342
bidv,south,2,26.933
bifn,south,3,214.937
bigg,west,4,4868.2325
biic,midwest,1,0.522561587
biit,west,4,4930.106
bijv,south,1,1.056
bilt,west,1,0.331
bine,northeast,1,0.285625522
bios,west,3,722.708
biqu,south,3,134.196
biry,west,4,4277.5
bisp,west,4,2930.615
bito,south,1,0.683
bitp,midwest,4,2819.25
bitr,west,4,5060.366
bius,south,1,1.394
bivi,west,4,2461.679
bivj,south,3,145.712
bivo,south,1,0.984
bjaf,west,4,3230.213
bjbr,northeast,1,0.276122449
bjct,west,4,6612.5
bjdy,midwest,1,0.133157757
bjen,south,1,6.051
bjgf,midwest,3,580.127
bjgg,south,1,0.299
bjij,south,1,2.905
bjiu,west,3,339.75
bjjc,northeast,1,0.0
bjjg,south,2,77.939
bjmm,south,1,12.647
bjnr,west,4,6092.5
bjpu,south,1,1.245
bjqz,midwest,2,53.55
bjrx,west,4,2855.0
bjtq,west,4,6597.5
bjuh,west,3,839.942
bjvi,south,2,36.67
bjxc,west,4,3545.0
bjxt,midwest,1,5.109725198
bjxy,midwest,2,93.67310268
bjxz,west,4,6155.0
bjyo,west,4,2100.0
bjzf,south,1,2.905
bkap,south,1,19.917
bkdu,midwest,2,87.57
bked,south,2,41.148
bkee,south,2,32.676
bkfk,south,2,22.765
bkgt,west,4,6717.5
bkla,south,3,170.954
bkmd,west,4,5150.0
bkpj,midwest,1,0.472179155
bktg,west,4,6585.0
bktz,south,1,14.523
bkud,south,1,5.486
bkuj,south,1,9.336
bkum,south,1,0.968
bkut,south,1,2.817
bkvm,west,4,4722.5
bkvu,midwest,3,322.992
bkvw,midwest,3,653.94
bkwa,south,1,0.232
bkwm,west,4,6530.0
bkyo,south,3,187.833
bkyr,midwest,2,48.51
bkzb,west,4,6372.5
bkzq,midwest,1,0.950325186
bkzy,south,1,0.508
blav,northeast,1,0.0
blca,south,1,19.315
bleb,south,1,2.033
bleo,west,4,2545.3
blff,west,4,6355.0
blfs,midwest,3,148.126
blft,midwest,3,158.45
blfu,midwest,2,52.605
blif,midwest,1,10.69846519
blil,south,1,2.003
bljj,south,2,29.046
blkf,west,4,6170.0
bllk,south,1,7.988
blll,west,3,556.6265
blne,south,3,640.376
blnj,south,2,29.046
bloh,south,1,6.697
blpr,west,4,1771.301
blqs,south,1,18.153
blra,midwest,1,9.402947917
blrw,west,1,11.712
blsa,south,3,476.056
blso,west,4,1419.599
blui,west,4,2862.5
blvv,south,1,4.357
blww,west,4,2757.5
blwy,northeast,1,0.6318
blxo,south,1,2.63
blza,northeast,2,39.333
blzf,south,2,24.274
bmac,northeast,1,0.292184974
bmah,west,4,2331.419
bmbi,south,2,81.328
bmdy,south,1,6.043
bmfz,south,1,2.512
bmjg,midwest,2,84.57
bmkt,west,4,3560.0
bmli,south,3,118.961
bmnd,northeast,1,1.295977011
bmqd,south,1,18.196
bmqu,south,1,0.254
bmqv,northeast,2,25.267
bmsm,south,1,3.559999943
bmud,south,1,0.871
bmup,south,2,33.257
bmvc,midwest,1,0.221685686
bmwl,west,4,6027.5
bmxf,northeast,1,4.229221014
bmxo,south,1,1.012
bmzi,midwest,3,391.476
bnav,west,4,2930.615
bncy,south,1,2.259
bndi,south,3,108.437
bndm,west,4,6227.5
bndt,west,4,6425.0
bneq,south,1,0.125
bnfn,west,4,6762.5
bnjd,west,3,839.942
bnjx,south,1,7.261
bnky,south,1,1.67
bnne,south,2,33.312
bnnt,west,4,1540.0895
bnnx,south,1,0.894
bnof,south,4,1050.9
bnvh,south,2,66.442
bnvp,west,2,32.33
bnvv,northeast,1,12.533
bnvz,south,1,9.682
bnxi,west,4,2537.5
bnxj,west,4,2083.925
bnzn,south,1,2.251
bocw,midwest,2,31.815
body,midwest,1,12.52777778
bohh,south,2,23.963
boje,midwest,2,90.143
bojy,northeast,1,0.060374833
bolr,south,1,0.157
bolx,south,3,156.846
bonv,west,4,6582.5
boow,south,1,4.685
bopm,west,4,1657.3235
boqk,northeast,2,35.67
bosu,northeast,3,489.2
bovi,south,3,111.825
bovo,west,4,5772.5
bovt,south,1,0.349
bowd,midwest,1,2.146317474
bown,west,5,11010.0
boyg,west,4,4132.5
bozt,south,1,2.287
bpaf,south,1,11.182
bpag,south,1,2.13159204
bpbp,west,4,5562.5
bpbq,midwest,4,1030.995
bpcd,northeast,3,246.7389535
bpco,midwest,3,130.095
bpcx,northeast,3,116.9994555
bpdo,south,2,59.40000153
bpdt,south,1,1.002
bphe,midwest,3,581.501
bphm,south,2,35.339
bpke,northeast,3,180.533
bpmp,south,2,93.914
bpnf,northeast,1,1.267
bpnh,west,4,5581.406
bpnv,south,1,16.459
bpoc,west,4,5838.6695
bppq,northeast,2,21.9024
bpqq,south,4,1007.32
bpsk,south,3,819.085
bptm,midwest,1,19.3
bpul,west,4,1364.2385
bpva,south,3,179.598
bpvg,midwest,1,0.414396958
bpxi,south,1,1.372
bpyp,south,2,37.033
bpzy,south,1,3.037
bqak,west,4,1250.0
bqas,northeast,1,0.0
bqbr,west,4,1390.2905
bqdd,south,1,2.905
bqeg,west,4,1555.0
bqex,south,4,1371.18
bqfi,south,1,14.523
bqfv,midwest,1,6.822
bqgd,west,4,5552.5
bqif,west,4,1321.904
bqip,northeast,2,30.467
bqjj,northeast,3,165.667
bqkx,west,4,2751.5075
bqlf,west,4,1945.899998
bqnp,south,2,30.498
bqoz,midwest,1,0.852968797
bqqg,northeast,1,7.008783784
bqrl,west,4,1175.3615
bqrs,south,2,27.392
bqss,south,2,50.346
bqsw,south,2,43.0
bqtc,south,1,2.47
bqtz,south,1,1.263
bquv,south,2,83.481
bqvb,south,1,9.682
bqwk,west,4,1719.197
bqwm,south,2,88.589
bqzc,midwest,1,0.378355705
bqzw,west,4,1765.919998
brbn,south,1,0.581
brcw,west,4,2285.36
brdt,midwest,1,5.516862242
brdy,south,1,0.173461539
brfi,south,2,26.556
brgi,midwest,2,20.03322904
brhs,south,1,6.68
brih,south,1,1.646
brja,west,4,5916.8255
brjj,west,4,2445.05325
brju,south,3,151.707
brkd,south,3,801.42
brlx,south,3,237.69
brml,midwest,4,1764.0
broc,south,2,41.39
brpr,south,1,5.4
brpt,west,1,0.0
brsc,west,2,40.93
brvj,south,1,0.073
